NZ_CP016824.1 Streptomyces sampsonii strain KJ40 chromosome, complete genome
NZ_CP020714.1 Staphylococcus aureus strain K18 chromosome, complete genome
NZ_CP016843.1 Carnobacterium divergens strain TMW 2.1579 chromosome, complete genome
NZ_CP045724.1 Pasteurella multocida strain PM22 chromosome, complete genome
NZ_LS483404.1 Corynebacterium renale strain NCTC11140 chromosome 1
NZ_CP044548.2 Janibacter melonis strain M714 chromosome, complete genome
NZ_CP046475.1 Janibacter melonis strain M714 plasmid unnamed, complete sequence
NZ_CP017484.1 Mannheimia haemolytica strain 39433 chromosome, complete genome
NZ_CP029760.1 Riemerella anatipestifer strain RCAD0133 chromosome, complete genome
NZ_CP025209.1 Corynebacterium diphtheriae bv. mitis str. ISS 3319 chromosome, complete genome
NZ_CP025210.1 Corynebacterium diphtheriae bv. mitis str. ISS 3319 plasmid pISS3319, complete sequence
NZ_LT963436.1 Staphylococcus saprophyticus isolate Staphylococcus saprophyticus 883 chromosome I
NZ_CP033988.1 Staphylococcus aureus strain P1D14C1 plasmid unnamed1, complete sequence
NZ_CP033989.1 Staphylococcus aureus strain P1D14C1 plasmid unnamed2, complete sequence
NZ_CP033990.1 Staphylococcus aureus strain P1D14C1 chromosome, complete genome
NZ_CP024809.1 Staphylococcus haemolyticus strain 83131A chromosome, complete genome
NZ_CP024810.1 Staphylococcus haemolyticus strain 83131A plasmid p83131A-A, complete sequence
NZ_LR134537.1 Corynebacterium diphtheriae strain NCTC7838 chromosome 1
NZ_CP045137.1 Staphylococcus haemolyticus strain VB5326 chromosome, complete genome
NZ_CP021268.1 Legionella pneumophila subsp. pneumophila strain Birmingham 1 (D-7470) chromosome, complete genome
NZ_CP014040.1 Vibrio alginolyticus strain FDAARGOS_110 chromosome 1, complete sequence
NZ_CP014041.1 Vibrio alginolyticus strain FDAARGOS_110 chromosome 2, complete sequence
NZ_CP017507.1 Mannheimia haemolytica strain 28253 chromosome, complete genome
NZ_CP033745.1 Burkholderia multivorans strain FDAARGOS_548 chromosome 1, complete sequence
NZ_CP033746.1 Burkholderia multivorans strain FDAARGOS_548 chromosome 2, complete sequence
NZ_CP033747.1 Burkholderia multivorans strain FDAARGOS_548 chromosome 3, complete sequence
NZ_CP006828.1 Ornithobacterium rhinotracheale ORT-UMN 88, complete genome
NZ_CP047614.1 Lactococcus raffinolactis strain Lr_19_7 chromosome, complete genome
NZ_CP047615.1 Lactococcus raffinolactis strain Lr_19_7 plasmid pLraf_19_7_1, complete sequence
NZ_CP022381.1 Capnocytophaga sp. H2931 chromosome, complete genome
NZ_CP009500.1 Corynebacterium ulcerans strain 210932 chromosome, complete genome
NZ_CP013934.1 Weissella cibaria strain CMS3 chromosome, complete genome
NZ_CP013935.1 Weissella cibaria strain CMS3 plasmid unnamed, complete sequence
NZ_CP023643.1 Brochothrix thermosphacta strain BII chromosome, complete genome
NC_017269.1 Vibrio cholerae LMA3984-4 chromosome II, complete sequence
NC_017270.1 Vibrio cholerae LMA3984-4 chromosome I, complete sequence
NZ_CP012364.1 Oblitimonas alkaliphila strain E1148 chromosome, complete genome
NC_017949.1 Lactococcus lactis subsp. cremoris NZ9000, complete genome
NZ_CP021386.1 Bifidobacterium breve strain NRBB04 chromosome, complete genome
NZ_LS999833.1 Lentilitoribacter sp. Alg239-R112 chromosome I
NZ_LS999834.1 Lentilitoribacter sp. Alg239-R112 chromosome II
NZ_LS999835.1 Lentilitoribacter sp. Alg239-R112 chromosome III
NZ_LS999836.1 Lentilitoribacter sp. Alg239-R112 chromosome IV
NZ_CP026948.1 Corynebacterium sp. 2184 chromosome, complete genome
NZ_CP007779.1 Burkholderia cenocepacia strain DWS 37E-2 chromosome 3, complete sequence
NZ_CP007780.1 Burkholderia cenocepacia strain DWS 37E-2 chromosome 2, complete sequence
NZ_CP007781.1 Burkholderia cenocepacia strain DWS 37E-2 chromosome 1, complete sequence
NZ_CP017069.2 Staphylococcus lugdunensis strain K93G chromosome, complete genome
NZ_CP035541.1 Staphylococcus haemolyticus strain PK-01 chromosome, complete genome
NZ_LS483310.1 Staphylococcus aureus strain NCTC9752 chromosome 1
NZ_CP015903.1 Lactococcus lactis subsp. lactis strain UC08 chromosome, complete genome
NZ_CP016726.1 Lactococcus lactis subsp. lactis strain UC08 plasmid pUC08A, complete sequence
NZ_CP016727.1 Lactococcus lactis subsp. lactis strain UC08 plasmid pUC08B, complete sequence
NZ_CP016728.1 Lactococcus lactis subsp. lactis strain UC08 plasmid pUC08C, complete sequence
NZ_CP034577.1 Lactococcus lactis subsp. lactis strain UC08 plasmid pUC08D, complete sequence
NZ_CP034578.1 Lactococcus lactis subsp. lactis strain UC08 plasmid pUC08E, complete sequence
NZ_CP013121.1 Fusobacterium nucleatum subsp. polymorphum strain ChDC F306, complete genome
NZ_CP013122.1 Fusobacterium nucleatum subsp. polymorphum strain ChDC F306 plasmid unnamed1, complete sequence
NZ_CP013123.1 Fusobacterium nucleatum subsp. polymorphum strain ChDC F306 plasmid unnamed2, complete sequence
NZ_CP017544.1 Mannheimia haemolytica strain 1373 chromosome, complete genome
NZ_CP020401.2 Neisseria meningitidis strain FDAARGOS_214 chromosome, complete genome
NZ_LR135293.1 Enterococcus faecium isolate E7237 chromosome 1
NZ_LR135294.1 Enterococcus faecium isolate E7237 plasmid 2
NZ_LR135295.1 Enterococcus faecium isolate E7237 plasmid 3
NZ_LR135296.1 Enterococcus faecium isolate E7237 plasmid 4
NZ_LR134297.1 Enterococcus hirae strain NCTC12368 chromosome 1
NZ_CP031839.1 Staphylococcus aureus strain NX-T55 chromosome, complete genome
NZ_CP031840.1 Staphylococcus aureus strain NX-T55 plasmid unnamed
NZ_CP033737.1 Listeria monocytogenes strain FDAARGOS_555 chromosome, complete genome
NZ_CP034945.1 Enterococcus faecium strain NM213 plasmid unnamed2, complete sequence
NZ_CP034946.1 Enterococcus faecium strain NM213 plasmid unnamed3, complete sequence
NZ_CP034947.1 Enterococcus faecium strain NM213 plasmid unnamed4, complete sequence
NZ_CP034948.1 Enterococcus faecium strain NM213 plasmid unnamed5, complete sequence
NZ_CP034949.1 Enterococcus faecium strain NM213 chromosome, complete genome
NZ_CP034950.1 Enterococcus faecium strain NM213 plasmid unnamed1, complete sequence
NZ_CP033325.1 Georgenia sp. ZLJ0423 chromosome, complete genome
NC_017576.1 Streptococcus gallolyticus subsp. gallolyticus ATCC 43143, complete genome
NZ_CP033465.1 Clostridium sp. JN-1 chromosome, complete genome
NC_017846.1 Aggregatibacter actinomycetemcomitans D7S-1, complete genome
NZ_CP047826.1 Staphylococcus aureus strain UP_1239 chromosome, complete genome
NZ_CP047827.1 Staphylococcus aureus strain UP_1239 plasmid unnamed, complete sequence
NZ_CP031673.1 Staphylococcus aureus strain MOZ66 chromosome, complete genome
NZ_CP006956.1 Bibersteinia trehalosi USDA-ARS-USMARC-190, complete genome
NZ_CP019593.2 Staphylococcus aureus strain GD705 chromosome, complete genome
NZ_CP018842.1 Staphylococcus epidermidis strain 14.1.R1 chromosome, complete genome
NZ_CP018843.1 Staphylococcus epidermidis strain 14.1.R1 plasmid pHOB1, complete sequence
NZ_CP018844.1 Staphylococcus epidermidis strain 14.1.R1 plasmid pHOB2, complete sequence
NZ_CP015173.1 Staphylococcus aureus strain RIVM6519, complete genome
NZ_CP015174.1 Staphylococcus aureus strain RIVM6519 plasmid pRIVM6519-1, complete sequence
NZ_CP015175.1 Staphylococcus aureus strain RIVM6519 plasmid pRIVM6519-2, complete sequence
NZ_LR134409.1 Kocuria rhizophila strain NCTC8340 chromosome 1
NZ_LR736240.1 Staphylococcus epidermidis isolate BPH0662 plasmid 4
NZ_LT571449.1 Staphylococcus epidermidis isolate BPH0662 chromosome 1
NZ_LT571450.1 Staphylococcus epidermidis isolate BPH0662 plasmid 2
NZ_LT571451.1 Staphylococcus epidermidis isolate BPH0662 plasmid 3
NZ_CP018128.1 Enterococcus faecium strain A_020709_82 chromosome, complete genome
NZ_CP018129.1 Enterococcus faecium strain A_020709_82 plasmid unnamed1, complete sequence
NZ_CP018130.1 Enterococcus faecium strain A_020709_82 plasmid unnamed2, complete sequence
NZ_CP018131.1 Enterococcus faecium strain A_020709_82 plasmid unnamed3, complete sequence
NZ_CP018132.1 Enterococcus faecium strain A_020709_82 plasmid unnamed4, complete sequence
NZ_CP017508.1 Mannheimia haemolytica strain 28240 chromosome, complete genome
NZ_CP019768.1 Corynebacterium pseudotuberculosis strain phoP chromosome, complete genome
NZ_CP030323.1 Staphylococcus aureus strain AR_475 chromosome, complete genome
NZ_CP030324.1 Staphylococcus aureus strain AR_475 plasmid unnamed1, complete sequence
NZ_CP017520.1 Mannheimia haemolytica strain 1609 chromosome, complete genome
NZ_LR134089.1 Staphylococcus saprophyticus subsp. saprophyticus strain NCTC7666 chromosome 1
NZ_CP029474.1 Staphylococcus aureus strain USA 100 isolate 30-47 chromosome, complete genome
NZ_CP029475.1 Staphylococcus aureus strain USA 100 isolate 30-47 plasmid unnamed, complete sequence
NZ_CP045033.1 Lactobacillus kefiranofaciens subsp. kefiranofaciens strain LKK75 chromosome, complete genome
NZ_CP024595.1 Porphyromonas gingivalis strain KCOM 3001 chromosome, complete genome
NC_012913.1 Aggregatibacter aphrophilus NJ8700, complete genome
NZ_CP047363.1 Macrococcus canis strain Epi0076A chromosome, complete genome
NZ_CP047364.1 Macrococcus canis strain Epi0076A plasmid pEpi0076A-1, complete sequence
NZ_CP047365.1 Macrococcus canis strain Epi0076A plasmid pEpi0076A-2, complete sequence
NZ_CP045032.1 Corynebacterium sp. LMM-1652 chromosome, complete genome
NZ_CP031538.1 Lactococcus lactis subsp. cremoris strain 3107 chromosome L3107, complete sequence
NZ_CP031539.1 Lactococcus lactis subsp. cremoris strain 3107 plasmid p3107A, complete sequence
NZ_CP031540.1 Lactococcus lactis subsp. cremoris strain 3107 plasmid p3107B, complete sequence
NZ_CP031541.1 Lactococcus lactis subsp. cremoris strain 3107 plasmid p3107C, complete sequence
NZ_CP031542.1 Lactococcus lactis subsp. cremoris strain 3107 plasmid p3107D, complete sequence
NZ_CP031543.1 Lactococcus lactis subsp. cremoris strain 3107 plasmid p3107E, complete sequence
NZ_CP031544.1 Lactococcus lactis subsp. cremoris strain 3107 plasmid p3107F, complete sequence
NZ_CP017995.1 Corynebacterium glutamicum strain C1 chromosome, complete genome
NZ_CP023539.1 Staphylococcus lugdunensis strain FDAARGOS_377 chromosome, complete genome
NZ_CP006269.1 Synechococcus sp. KORDI-100 strain KORDI 100 chromosome, complete genome
NZ_CP017521.1 Mannheimia haemolytica strain 1584 chromosome, complete genome
NC_017220.1 Bifidobacterium longum subsp. longum KACC 91563 plasmid BLNIAS_P1, complete sequence
NC_017221.1 Bifidobacterium longum subsp. longum KACC 91563, complete sequence
NC_017222.1 Bifidobacterium longum subsp. longum KACC 91563 plasmid BLNIAS_P2, complete sequence
NZ_CP051666.1 Marinobacterium sp. LSUCC0821 chromosome, complete genome
NZ_CP018002.1 Propionibacterium freudenreichii strain P.UF1 chromosome, complete genome
NZ_CP015344.1 Legionella pneumophila strain D-7630, complete genome
NZ_LT615218.1 Staphylococcus aureus strain AUS0325 chromosome 1
NZ_CP031324.1 Neisseria meningitidis strain M23347 chromosome, complete genome
NZ_AP018585.1 Staphylococcus caprae strain JMUB145
NZ_CP051638.1 Avibacterium paragallinarum strain ADL-AP15 chromosome, complete genome
NZ_CP034192.1 Bifidobacterium breve strain lw01 chromosome, complete genome
NC_018608.1 Staphylococcus aureus 08BA02176, complete genome
NZ_CP012352.1 Cutibacterium acnes strain PA_15_2_L1 chromosome, complete genome
NZ_CP027419.1 Staphylococcus cohnii strain FDAARGOS_334 plasmid unnamed2, complete sequence
NZ_CP027420.1 Staphylococcus cohnii strain FDAARGOS_334 plasmid unnamed1, complete sequence
NZ_CP027421.1 Staphylococcus cohnii strain FDAARGOS_334 plasmid unnamed3, complete sequence
NZ_CP027422.1 Staphylococcus cohnii strain FDAARGOS_334 chromosome, complete genome
NZ_CP027423.1 Staphylococcus cohnii strain FDAARGOS_334 plasmid unnamed4
NZ_CP027424.1 Staphylococcus cohnii strain FDAARGOS_334 plasmid unnamed5, complete sequence
NZ_CP027427.1 Weissella cibaria strain BM2 chromosome, complete genome
NZ_CP027428.1 Weissella cibaria strain BM2 plasmid pBM2, complete sequence
NZ_CP009046.1 Staphylococcus epidermidis strain SEI chromosome, complete genome
NZ_CP009047.1 Staphylococcus epidermidis strain SEI plasmid unnamed, complete sequence
NZ_CP042408.1 Lactococcus lactis strain CBA3619 chromosome, complete genome
NZ_CP042409.1 Lactococcus lactis strain CBA3619 plasmid unnamed, complete sequence
NZ_CP041356.1 Lactococcus sp. KACC 19320 chromosome, complete genome
NZ_CP027768.1 Tetragenococcus halophilus strain LMG 26042 chromosome, complete genome
NZ_CP027769.1 Tetragenococcus halophilus strain LMG 26042 plasmid pTHF, complete sequence
NZ_CP035281.1 Aminipila sp. JN-18 chromosome, complete genome
NZ_CP053468.1 Fusobacterium nucleatum strain Fn12230 chromosome, complete genome
NZ_CP053469.1 Fusobacterium nucleatum strain Fn12230 plasmid unnamed, complete sequence
NZ_CP053470.1 Fusobacterium nucleatum strain Fn12230 plasmid pFN1, complete sequence
NZ_CP031746.1 Auritidibacter sp. NML130574 chromosome, complete genome
NC_017316.1 Enterococcus faecalis OG1RF, complete genome
NZ_CP034111.1 Staphylococcus epidermidis strain CDC120 chromosome, complete genome
NZ_CP034112.1 Staphylococcus epidermidis strain CDC120 plasmid pSTA491, complete sequence
NZ_CP034113.1 Staphylococcus epidermidis strain CDC120 plasmid pSTA492, complete sequence
NZ_CP034114.1 Staphylococcus epidermidis strain CDC120 plasmid pSTA493, complete sequence
NZ_CP035136.1 Enterococcus faecium strain SRCM103341 chromosome, complete genome
NZ_CP035137.1 Enterococcus faecium strain SRCM103341 plasmid unnamed1, complete sequence
NZ_CP035138.1 Enterococcus faecium strain SRCM103341 plasmid unnamed2, complete sequence
NZ_CP006713.1 Bifidobacterium breve JCM 7019, complete genome
NZ_CP031554.1 Pasteurella multocida strain BS168 chromosome, complete genome
NZ_CP021478.1 Lactobacillus brevis strain SRCM101174 plasmid pLB1174-1, complete sequence
NZ_CP021479.1 Lactobacillus brevis strain SRCM101174 chromosome, complete genome
NZ_CP021480.1 Lactobacillus brevis strain SRCM101174 plasmid pLB1174-2, complete sequence
NZ_CP021481.1 Lactobacillus brevis strain SRCM101174 plasmid pLB1174-3 sequence
NZ_CP021482.1 Lactobacillus brevis strain SRCM101174 plasmid pLB1174-4 sequence
NZ_CP021483.1 Lactobacillus brevis strain SRCM101174 plasmid pLB1174-5 sequence
NZ_CP023198.1 Bifidobacterium breve strain DRBB29 chromosome, complete genome
NC_017342.1 Staphylococcus aureus subsp. aureus TCH60, complete sequence
NC_017345.1 Staphylococcus aureus subsp. aureus TCH60 plasmid unnamed, complete sequence
NZ_CP047790.1 Staphylococcus aureus strain UP_830 chromosome, complete genome
NZ_CP013911.1 Staphylococcus haemolyticus strain S167 chromosome, complete genome
NZ_CP013912.1 Staphylococcus haemolyticus strain S167 plasmid pSH108, complete sequence
NZ_CP014899.1 Lactobacillus backii strain TMW 1.2002 chromosome, complete genome
NZ_CP014900.1 Lactobacillus backii strain TMW 1.2002 plasmid pL12002-1, complete sequence
NZ_CP014901.1 Lactobacillus backii strain TMW 1.2002 plasmid pL12002-2, complete sequence
NZ_CP014902.1 Lactobacillus backii strain TMW 1.2002 plasmid pL12002-3, complete sequence
NZ_CP014903.1 Lactobacillus backii strain TMW 1.2002 plasmid pL12002-4, complete sequence
NZ_CP014904.1 Lactobacillus backii strain TMW 1.2002 plasmid pL12002-5, complete sequence
NZ_CP014905.1 Lactobacillus backii strain TMW 1.2002 plasmid pL12002-6, complete sequence
NZ_CP014906.1 Lactobacillus backii strain TMW 1.2002 plasmid pL12002-7, complete sequence
NZ_CP012756.1 Staphylococcus aureus subsp. aureus strain JS395, complete genome
NZ_CP012757.1 Staphylococcus aureus subsp. aureus strain JS395 plasmid, complete sequence
NZ_CP024635.1 Lactobacillus brevis strain BDGP6 chromosome, complete genome
NZ_CP023275.1 Sulfurospirillum sp. JPD-1 chromosome, complete genome
NC_020230.1 Corynebacterium urealyticum DSM 7111, complete genome
NZ_CP045012.1 Enterococcus faecium strain LAC7.2 chromosome, complete genome
NZ_CP045013.1 Enterococcus faecium strain LAC7.2 plasmid pI, complete sequence
NZ_CP045014.1 Enterococcus faecium strain LAC7.2 plasmid pII, complete sequence
NZ_CP010890.1 Staphylococcus aureus strain SA564 chromosome, complete genome
NZ_CP010891.1 Staphylococcus aureus strain SA564 plasmid pSA564, complete sequence
NZ_CP020404.1 Pasteurella multocida strain FDAARGOS_218 plasmid unnamed1, complete sequence
NZ_CP020405.1 Pasteurella multocida strain FDAARGOS_218 chromosome, complete genome
NC_016928.2 Staphylococcus aureus subsp. aureus M013, complete sequence
NZ_CP039996.1 Staphylococcus aureus subsp. aureus M013 plasmid pM013, complete sequence
NZ_CP047796.1 Staphylococcus aureus strain UP_462 chromosome, complete genome
NZ_CP042216.1 Enterococcus faecalis strain L8 chromosome, complete genome
NZ_CP042217.1 Enterococcus faecalis strain L8 plasmid pL8, complete sequence
NZ_CP024704.1 Fusobacterium pseudoperiodonticum strain KCOM 2555 chromosome, complete genome
NC_017764.1 Pasteurella multocida subsp. multocida str. 3480, complete genome
NZ_CP031131.1 Staphylococcus aureus strain E16SA093 chromosome, complete genome
NZ_CP035642.1 Corynebacterium pseudotuberculosis strain OVICCA32 chromosome, complete genome
NZ_CP043617.1 Sulfurimonas sp. GYSZ_1 chromosome, complete genome
NZ_CP043618.1 Sulfurimonas sp. GYSZ_1 plasmid unnamed, complete sequence
NZ_CP018034.1 Glaesserella parasuis str. Nagasaki chromosome, complete genome
NZ_CP037861.1 Pasteurella multocida subsp. multocida strain HN01 chromosome, complete genome
NZ_CP017527.1 Mannheimia haemolytica strain 1563 chromosome, complete genome
NZ_CP035678.1 Corynebacterium pseudotuberculosis strain OVIZ01 chromosome, complete genome
NZ_CP041270.1 Enterococcus faecium strain VVEswe-S chromosome, complete genome
NZ_CP041271.1 Enterococcus faecium strain VVEswe-S plasmid pVVEswe-S1, complete sequence
NZ_CP041272.1 Enterococcus faecium strain VVEswe-S plasmid pVVEswe-S2
NZ_CP041273.1 Enterococcus faecium strain VVEswe-S plasmid pVVEswe-S3, complete sequence
NZ_CP041274.1 Enterococcus faecium strain VVEswe-S plasmid pVVEswe-S5, complete sequence
NZ_CP041275.1 Enterococcus faecium strain VVEswe-S plasmid pVVEswe-S6, complete sequence
NZ_CP041276.1 Enterococcus faecium strain VVEswe-S plasmid pVVEswe-S7
NZ_CP041277.1 Enterococcus faecium strain VVEswe-S plasmid pVVEswe-S8
NZ_CP041278.1 Enterococcus faecium strain VVEswe-S plasmid pVVEswe-S9
NZ_CP041279.1 Enterococcus faecium strain VVEswe-S plasmid pVVEswe-S4
